relatedNote-id	Species-Zoonoses_jpn	Species-ZoonosesCategory_jpn	Category_jpn	Note_jpn	Species-Zoonoses_eng	Species-ZoonosesCategory_eng	Category_eng	Note	NoteTextAE-span	PubMed-id	Registered	LastUpdated
relatedNote-id_1	オオキノコシロアリ	シロアリ科	その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Macrotermes bellicosus	Termitidae	Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/0-196	32097700	2021-08-22	2021-09-29
relatedNote-id_2	オオキノコシロアリ	シロアリ科	その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Macrotermes bellicosus	Termitidae	Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/356-541	32097700	2021-08-22	2021-09-29
relatedNote-id_3	オオキノコシロアリ	シロアリ科	その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Macrotermes bellicosus	Termitidae	Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1386-1652	32097700	2021-08-22	2021-09-29
relatedNote-id_4	オオキノコシロアリ	シロアリ科	その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Macrotermes bellicosus	Termitidae	Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2117-2353	32097700	2021-08-22	2021-09-29
relatedNote-id_5	シロアリ	シロアリ科	その他	センザンコウが食料とするシロアリは、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（TNFα放出とIL-8放出を阻害）（サハラ以南のアフリカ（ベナン共和国））。	Termites	Termitidae	Others	Termites (also their mound and fungus comb), eaten by pangolins, used as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_10	センザンコウ	鱗甲目	その他	センザンコウが食料とするシロアリは、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（TNFα放出とIL-8放出を阻害）（サハラ以南のアフリカ（ベナン共和国））。	Pangolins	Pholidota	Others	Termites (also their mound and fungus comb), eaten by pangolins, used as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_11	人獣共通感染症		その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Zoonoses		Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/0-196	32097700	2021-08-22	2021-09-29
relatedNote-id_12	人獣共通感染症		その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Zoonoses		Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/356-541	32097700	2021-08-22	2021-09-29
relatedNote-id_13	人獣共通感染症		その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Zoonoses		Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1386-1652	32097700	2021-08-22	2021-09-29
relatedNote-id_14	人獣共通感染症		その他	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Zoonoses		Others	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2117-2353	32097700	2021-08-22	2021-09-29
