Dic-id	lexicalCue	exactID	synonymID	Registered	LastUpdated
Dic-id_1	Ethnomedicinal	MESH:D008519		2021-08-21	
Dic-id_2	in vitro			2021-08-21	
Dic-id_3	anti-inflammatory		MESH:D000893	2021-08-21	
Dic-id_4	antispasmodic properties	MESH:D010276		2021-08-21	
Dic-id_5	termite	Tax:1912919		2021-08-21	
Dic-id_6	Macrotermes bellicosus	Tax:201577		2021-08-21	
Dic-id_7	traditional medicine	MESH:D016488		2021-08-21	
Dic-id_8	Republic of Benin	MESH:D001541		2021-08-21	
Dic-id_9	fungus	Tax:4751		2021-08-21	
Dic-id_10	termites	Tax:1912919		2021-08-21	
Dic-id_11	Macrotermes bellicosus	Tax:201577		2021-08-21	
Dic-id_12	M. bellicosus	Tax:201577		2021-08-21	
Dic-id_13	nutrition	MESH:D000066888		2021-08-21	
Dic-id_14	sub-Saharan Africa	MESH:D017954		2021-08-21	
Dic-id_15	30			2021-08-21	
Dic-id_16	healers	MESH:D010820		2021-08-21	
Dic-id_17	its	Tax:201577		2021-08-21	
Dic-id_18	products			2021-08-21	
Dic-id_19	termites' mound		MESH:D000077215	2021-08-21	
Dic-id_20	fungus comb			2021-08-21	
Dic-id_21	Benin	MESH:D001541		2021-08-21	
Dic-id_22	therapeutic			2021-08-21	
Dic-id_23	infectious	MESH:D003141		2021-08-21	
Dic-id_24	inflammatory diseases	MESH:D007249		2021-08-21	
Dic-id_25	diseases	MESH:D003141		2021-08-21	
Dic-id_26	digestive disorders	MESH:D004066		2021-08-21	
Dic-id_27	snake bites	MESH:D012909		2021-08-21	
Dic-id_28	diarrhea	MESH:D003967		2021-08-21	
Dic-id_29	anti-inflammatory activity		MESH:D000893	2021-08-21	
Dic-id_30	inhibiting			2021-08-21	
Dic-id_31	pro-inflammatory cytokine	MESH:D018925		2021-08-21	
Dic-id_32	release			2021-08-21	
Dic-id_33	moderate			2021-08-21	
Dic-id_34	influence			2021-08-21	
Dic-id_35	intestinal motility	MESH:D005769		2021-08-21	
Dic-id_36	LPS	MESH:D008070		2021-08-21	
Dic-id_37	induced			2021-08-21	
Dic-id_38	TNFα	Gene:7124		2021-08-21	2021-08-25
Dic-id_40	differentiated			2021-08-21	
Dic-id_41	human	Tax:9606		2021-08-21	
Dic-id_42	macrophages	MESH:D008264		2021-08-21	
Dic-id_43	THP-1	MESH:D000074084		2021-08-21	
Dic-id_44	IL-8	Gene:3576		2021-08-21	
Dic-id_46	cytokine	MESH:D016207		2021-08-21	
Dic-id_47	IL-1β	Gene:3553		2021-08-21	2021-11-01
Dic-id_48	IFNγ	Gene:3458		2021-08-21	2021-08-25
Dic-id_49	challenged			2021-08-21	
Dic-id_50	intestinal	MESH:D007422		2021-08-21	
Dic-id_51	epithelial cells	MESH:D004847		2021-08-21	
Dic-id_52	Caco-2	MESH:D018938		2021-08-21	
Dic-id_53	enzyme-linked immunosorbent assay	MESH:D004797		2021-08-21	
Dic-id_54	Pangolins	Tax:9972		2021-08-21	
Dic-id_55	placental mammals	Tax:9347		2021-08-21	
Dic-id_56	eight			2021-08-21	
Dic-id_57	world			2021-08-21	
Dic-id_58	highly			2021-08-21	
Dic-id_59	specialized		MESH:D019648	2021-08-21	
Dic-id_60	diet	MESH:D004032		2021-08-21	
Dic-id_61	ants	Tax:36668		2021-08-21	
