Note-id	Note_jpn	Note	Registered	LastUpdated
Note-id_1	ヒトの食料になっており、塚と菌床も含め、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（サハラ以南のアフリカ（ベナン共和国））。	Humans eat termites and use them, their mound and fungus comb as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	2021-08-22	2021-09-27
Note-id_2	センザンコウが食料とするシロアリは、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（TNFα放出とIL-8放出を阻害）（サハラ以南のアフリカ（ベナン共和国））。	Termites (also their mound and fungus comb), eaten by pangolins, used as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	2021-08-22	2021-11-05
Note-id_3	シロアリ抽出物はLPS誘導性TNFα放出とサイトカイン誘導性IL-8放出の両方を阻害（ブデソニドに匹敵）。	Termites' extract inhibited both LPS-induced TNFα release and cytokine-induced IL-8 release (comparable to budesonide).	2021-08-22	2021-09-27
Note-id_4	高濃度シロアリ抽出物は、小腸の収縮を抑制し、基底緊張を緩和。	High concentration termite extract suppressed intestinal contractions and relaxed its basal tone.	2021-08-22	
Note-id_5	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	2021-08-22	2021-09-27
Note-id_6	ケニア。	Kenya.	2021-08-22	2021-09-06
Note-id_7	多くの病原体を媒介する（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	2021-08-22	2021-09-27
Note-id_8	休息地や繁殖地は動物小屋、シロアリの巣や塚（人間の住居（家）には作らない）。	Resting or breeding habitats in animal sheds, mounds and houses of termites (not in human dwelling (house)).	2021-08-22	
Note-id_9	誘因揮発性物質（1-オクテン-3-オール、6-メチル-5-ヘプテン-2-オン、α-ピネン、ベンジルアルコール、m-クレゾール、p-クレゾール、デカナール）（その他の吸血虫でも）。	Attractive volatiles; 1-octen-3-ol, 6-methyl-5-hepten-2-one, α-pinene, benzyl alcohol, m-cresol, p-cresol and decanal (also for other blood-feeding insects).	2021-08-22	2021-09-27
Note-id_10	サハラ以南の（西）アフリカ諸国（コンゴ共和国、ガボン共和国、シエラレオネ共和国、ギニア共和国、リベリア共和国、ナイジェリア連邦共和国）。輸入（ヨーロッパやアメリカ）。	Sub-Saharan (West) African countries (Republic of the Congo, Gabon, Sierra Leone, Guinea, Liberia, Nigeria). Travel related; Europe and America.	2021-08-22	2021-09-21
