NoteOnTextAE-id	Note-id	NoteTextAE-span	PubMed-id	Registered	LastUpdated
NoteOnTextAE-id_1	Note-id_1	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/0-196	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_2	Note-id_1	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/356-541	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_3	Note-id_1	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1386-1652	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_4	Note-id_1	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2117-2353	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_5	Note-id_2	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-19
NoteOnTextAE-id_6	Note-id_3	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/951-1174	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_7	Note-id_3	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1654-1848	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_8	Note-id_4	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1189-1375	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_9	Note-id_4	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1863-2103	32097700	2021-08-22	2021-09-19
NoteOnTextAE-id_10	Note-id_5	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-19
NoteOnTextAE-id_11	Note-id_5	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_12	Note-id_5	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_13	Note-id_5	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_14	Note-id_6	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_15	Note-id_7	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_16	Note-id_7	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_17	Note-id_7	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1046-1150	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_18	Note-id_8	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_19	Note-id_8	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1152-1263	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_20	Note-id_8	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1265-1433	33524028	2021-08-22	
NoteOnTextAE-id_21	Note-id_9	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1436-1668	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_22	Note-id_9	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1683-1974	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_23	Note-id_9	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1976-2303	33524028	2021-08-22	2021-09-19
NoteOnTextAE-id_24	Note-id_10	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/98-306	26938950	2021-08-22	2021-09-19
NoteOnTextAE-id_25	Note-id_11	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/98-306	26938950	2021-08-22	2021-09-19
NoteOnTextAE-id_26	Note-id_12	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/308-507	26938950	2021-08-22	2021-09-19
NoteOnTextAE-id_27	Note-id_12	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/509-718	26938950	2021-08-22	2021-09-19
