Species-Zoonoses-id	Species-Zoonoses_jpn	Species-Zoonoses_eng	Registered	LastUpdated
Sp-id_1	シロアリ	Termites	2021-08-21	
Sp-id_2	センザンコウ	Pangolins	2021-08-21	
Sp-id_3	サシチョウバエ	Sand flies	2021-08-21	
Sp-id_4	コウモリ	Bats	2021-08-21	
Sp-id_5	ゴキブリ	Cockroaches	2021-08-21	
Sp-id_6	マウス	Mice	2021-08-21	
Sp-id_7	ヒョウヒダニ（チリダニ）	Dust mites	2021-08-21	2021-09-29
Sp-id_8	イヌ	Dogs	2021-08-21	
Sp-id_9	ブタ	Pigs	2021-08-21	
Sp-id_10	家禽	Poultry 	2021-08-21	
Sp-id_11	ネコ	Cats	2021-08-21	
Sp-id_12	フェレット	Ferrets	2021-08-21	
Sp-id_13	ミンク	Minks	2021-08-21	
Sp-id_14	ハムスター	Hamsters	2021-08-21	
Sp-id_15	霊長目	Primates	2021-08-21	2021-09-29
Sp-id_16	コンパニオンアニマル（ペット）	Companion animals (Pets)	2021-08-21	2021-09-17
Sp-id_19	トラ	Tigers	2021-08-23	
Sp-id_20	ライオン	Lions	2021-08-23	
Sp-id_21	ラクダ	Camels	2021-09-01	
Sp-id_22	ウサギ	Rabbits	2021-09-01	
Sp-id_23	ウシ	Cattle	2021-09-01	
Sp-id_24	ウマ	Horses	2021-09-01	
Sp-id_25	ヤギ	Goats	2021-09-01	
Sp-id_26	ヒツジ	Sheep	2021-09-01	
Sp-id_27	クマ	Bears	2021-09-01	2021-09-16
Sp-id_28	ラット	Rats	2021-09-01	
Sp-id_29	アライグマ	Raccoons	2021-09-27	
Sp-id_30	スカンク	Skunks	2021-09-27	
Sp-id_31	キツネ	Foxes	2021-09-27	
Sp-id_32	コヨーテ	Coyotes	2021-09-27	
Sp-id_33	ボブキャット	Bobcats	2021-09-27	
Sp-id_34	ピューマ	Mountain lions	2021-09-27	
Sp-id_35	オオカミ	Wolves	2021-09-27	
Sp-id_36	ウッドチャック	Woodchucks	2021-09-27	
Sp-id_37	ビーバー	Beavers	2021-09-27	
Sp-id_38	モルモット	Guinea pigs	2021-09-27	
Sp-id_39	爬虫類	Reptiles	2021-09-27	
Sp-id_40	トリ	Birds	2021-09-27	
Sp-id_41	観賞魚	Ornamental fishes	2021-09-27	
Sp-id_42	魚類	Fishes	2021-09-27	2021-09-29
Sp-id_43	コウモリバエの1種	Eucampsipoda africana (Bat flies)	2021-09-27	2021-09-29
Sp-id_44	ダイカー	Duikers	2021-09-27	
Sp-id_45	カメ	Turtles	2021-09-27	
Sp-id_46	ハマダラカ	Anopheles	2021-09-27	
Sp-id_47	トカゲ	Lizards	2021-09-27	
Sp-id_49	オオキノコシロアリ	Macrotermes bellicosus	2021-09-29	
Sp-id_50	フレボトミンサシチョウバエ	Phlebotomine sand flies	2021-09-29	
Sp-id_51	家畜	Domestic animals 	2021-09-29	
Sp-id_52	詳細未記載	Details not written	2021-09-29	
Sp-id_53	ダニ	Mites	2021-09-29	
Sp-id_54	ネコ科	Felidae	2021-09-29	
Sp-id_55	イタチ科	Mustelidae	2021-09-29	
Sp-id_56	齧歯目	Rodentia	2021-09-29	
Sp-id_57	イヌ科	Canidae	2021-09-29	
Sp-id_58	イノシシ科	Suidae	2021-09-29	
Sp-id_59	鳥綱/鳥類	Aves	2021-09-29	
Sp-id_60	飼育下の大型ネコ	Captive big cats	2021-09-29	
Sp-id_61	翼手目	Chiroptera	2021-09-29	
Sp-id_62	シロアリ科	Termitidae	2021-09-29	
Sp-id_63	鱗甲目	Pholidota	2021-09-29	
Sp-id_64	ラクダ科	Camelidae	2021-09-29	
Sp-id_65	ウサギ科	Leporidae	2021-09-29	
Sp-id_66	ウマ科	Equidae	2021-09-29	
Sp-id_67	ウシ科	Bovidae	2021-09-29	
Sp-id_68	キクガシラコウモリ	Rhinolophus ferrumequinum	2021-09-29	
Sp-id_69	ハイイログマ	Grizzly bears	2021-09-29	
