lexisDic-id	lexicalCue	lexicalCue_jpn	Registered	LastUpdated
lexisDic-id_1	Ethnomedicinal	伝統医学	2021-08-21	
lexisDic-id_2	in vitro	生体外	2021-08-21	
lexisDic-id_3	anti-inflammatory	抗炎症	2021-08-21	
lexisDic-id_4	antispasmodic properties	鎮痙特性	2021-08-21	
lexisDic-id_5	termite	シロアリ	2021-08-21	
lexisDic-id_6	Macrotermes bellicosus	オオキノコシロアリ	2021-08-21	
lexisDic-id_7	traditional medicine	伝統薬	2021-08-21	
lexisDic-id_8	Republic of Benin	ベナン共和国	2021-08-21	
lexisDic-id_9	fungus	キノコ（を共生）	2021-08-21	
lexisDic-id_10	termites	シロアリ	2021-08-21	
lexisDic-id_11	Macrotermes bellicosus	オオキノコシロアリ	2021-08-21	
lexisDic-id_12	M. bellicosus	オオキノコシロアリ	2021-08-21	
lexisDic-id_13	nutrition	栄養源	2021-08-21	
lexisDic-id_14	sub-Saharan Africa	サハラ以南のアフリカ	2021-08-21	
lexisDic-id_15	30	30人	2021-08-21	
lexisDic-id_16	healers	ヒーラー（治療師）	2021-08-21	
lexisDic-id_17	its	オオキノコシロアリ	2021-08-21	
lexisDic-id_18	products	生成物	2021-08-21	
lexisDic-id_19	termites' mound	シロアリの塚	2021-08-21	
lexisDic-id_20	fungus comb	菌床	2021-08-21	
lexisDic-id_21	Benin	ベナン共和国	2021-08-21	
lexisDic-id_22	therapeutic	治療	2021-08-21	
lexisDic-id_23	infectious	感染	2021-08-21	
lexisDic-id_24	inflammatory diseases	炎症性疾患	2021-08-21	
lexisDic-id_25	diseases	症	2021-08-21	
lexisDic-id_26	digestive disorders	消化器疾患	2021-08-21	
lexisDic-id_27	snake bites	ヘビ咬傷	2021-08-21	
lexisDic-id_28	diarrhea	下痢	2021-08-21	
lexisDic-id_29	anti-inflammatory activity	抗炎症活性	2021-08-21	
lexisDic-id_30	inhibiting	阻害	2021-08-21	
lexisDic-id_31	pro-inflammatory cytokine	炎症誘発性サイトカイン	2021-08-21	
lexisDic-id_32	release	放出	2021-08-21	
lexisDic-id_33	moderate	適度	2021-08-21	
lexisDic-id_34	influence	影響を与える	2021-08-21	
lexisDic-id_35	intestinal motility	腸の運動	2021-08-21	
lexisDic-id_36	LPS	LPS（リポ多糖）	2021-08-21	
lexisDic-id_37	induced	誘導性	2021-08-21	
lexisDic-id_38	TNFα	TNFα	2021-08-21	
lexisDic-id_40	differentiated	分化した	2021-08-21	
lexisDic-id_41	human	ヒト	2021-08-21	
lexisDic-id_42	macrophages	マクロファージ	2021-08-21	
lexisDic-id_43	THP-1	THP-1細胞	2021-08-21	
lexisDic-id_44	IL-8	IL-8	2021-08-21	
lexisDic-id_46	cytokine	サイトカイン	2021-08-21	
lexisDic-id_47	IL-1β	IL-1β	2021-08-21	
lexisDic-id_48	IFNγ	IFNγ	2021-08-21	
lexisDic-id_49	challenged	誘導性	2021-08-21	
lexisDic-id_50	intestinal	小腸	2021-08-21	
lexisDic-id_51	epithelial cells	上皮細胞	2021-08-21	
lexisDic-id_52	Caco-2	Caco-2細胞	2021-08-21	
lexisDic-id_53	enzyme-linked immunosorbent assay	ELISA法	2021-08-21	
lexisDic-id_54	Pangolins	センザンコウ	2021-08-21	
lexisDic-id_55	placental mammals	有胎盤類	2021-08-21	
lexisDic-id_56	eight	8	2021-08-21	
lexisDic-id_57	world	世界	2021-08-21	
lexisDic-id_58	highly	高く	2021-08-21	
lexisDic-id_59	specialized	特殊化された	2021-08-21	
lexisDic-id_60	diet	食餌	2021-08-21	
