lexisMain-id	lexisGroup-id	Species-Zoonoses-id	spZooCategory-id	Category-id	Registered	LastUpdated
lexisMain-id_1	lexisGroup-id_1	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_3	lexisGroup-id_1	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_4	lexisGroup-id_2	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_6	lexisGroup-id_2	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_7	lexisGroup-id_3	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_9	lexisGroup-id_3	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_10	lexisGroup-id_4	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_12	lexisGroup-id_4	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_13	lexisGroup-id_558	Sp-id_1	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_14	lexisGroup-id_558	Sp-id_2	Sp-id_63	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_15	lexisGroup-id_558	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_16	lexisGroup-id_6	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_18	lexisGroup-id_6	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_19	lexisGroup-id_7	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_21	lexisGroup-id_7	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_22	lexisGroup-id_8	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_23	lexisGroup-id_9	Sp-id_49	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_25	lexisGroup-id_10	Sp-id_1	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_26	lexisGroup-id_10	Sp-id_52	Sp-id_51	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_27	lexisGroup-id_10	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_28	lexisGroup-id_10	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_29	lexisGroup-id_11	Sp-id_1	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_30	lexisGroup-id_11	Sp-id_52	Sp-id_51	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_31	lexisGroup-id_11	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_32	lexisGroup-id_11	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_33	lexisGroup-id_12	Sp-id_1	Sp-id_62	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_34	lexisGroup-id_12	Sp-id_52	Sp-id_51	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_35	lexisGroup-id_12	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_36	lexisGroup-id_12	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_37	lexisGroup-id_12	Zoonosis-id_2		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_38	lexisGroup-id_13	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_39	lexisGroup-id_14	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_40	lexisGroup-id_15	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_41	lexisGroup-id_16	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_42	lexisGroup-id_17	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_43	lexisGroup-id_18	Sp-id_50	Sp-id_3	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_44	lexisGroup-id_19	Zoonosis-id_3		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_45	lexisGroup-id_20	Zoonosis-id_3		Category-id_3	2021-08-21	2021-09-29
lexisMain-id_46	lexisGroup-id_21	Zoonosis-id_3		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_47	lexisGroup-id_21	Zoonosis-id_1		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_48	lexisGroup-id_22	Zoonosis-id_3		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_49	lexisGroup-id_22	Zoonosis-id_1		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_50	lexisGroup-id_22	Zoonosis-id_3		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_51	lexisGroup-id_22	Zoonosis-id_1		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_52	lexisGroup-id_23	Zoonosis-id_3		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_53	lexisGroup-id_23	Zoonosis-id_1		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_54	lexisGroup-id_24	Zoonosis-id_3		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_55	lexisGroup-id_24	Zoonosis-id_1		Category-id_11	2021-08-21	2021-09-29
lexisMain-id_56	lexisGroup-id_25	Zoonosis-id_3		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_57	lexisGroup-id_25	Zoonosis-id_1		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_58	lexisGroup-id_26	Zoonosis-id_3		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_59	lexisGroup-id_26	Zoonosis-id_1		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_60	lexisGroup-id_27	Zoonosis-id_3		Category-id_1	2021-08-21	2021-09-29
lexisMain-id_61	lexisGroup-id_27	Zoonosis-id_3		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_62	lexisGroup-id_28	Zoonosis-id_3		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_63	lexisGroup-id_28	Zoonosis-id_1		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_64	lexisGroup-id_29	Zoonosis-id_3		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_65	lexisGroup-id_29	Zoonosis-id_1		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_66	lexisGroup-id_30	Zoonosis-id_3		Category-id_6	2021-08-21	2021-09-29
lexisMain-id_67	lexisGroup-id_31	Zoonosis-id_3		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_68	lexisGroup-id_32	Zoonosis-id_3		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_69	lexisGroup-id_33	Zoonosis-id_3		Category-id_14	2021-08-21	2021-09-29
lexisMain-id_70	lexisGroup-id_34	Zoonosis-id_3		Category-id_10	2021-08-21	2021-09-29
lexisMain-id_71	lexisGroup-id_35	Zoonosis-id_1		Category-id_2	2021-08-21	2021-09-29
lexisMain-id_72	lexisGroup-id_35	Sp-id_4	Sp-id_61	Category-id_14	2021-08-21	2021-09-29
lexisMain-id_73	lexisGroup-id_35	Sp-id_4	Sp-id_61	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_74	lexisGroup-id_36	Sp-id_5	Sp-id_5	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_75	lexisGroup-id_36	Sp-id_6	Sp-id_56	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_76	lexisGroup-id_36	Sp-id_7	Sp-id_53	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_77	lexisGroup-id_36	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_78	lexisGroup-id_37	Sp-id_5	Sp-id_5	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_79	lexisGroup-id_37	Sp-id_6	Sp-id_56	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_80	lexisGroup-id_37	Sp-id_7	Sp-id_53	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_81	lexisGroup-id_37	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_82	lexisGroup-id_38	Sp-id_5	Sp-id_5	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_83	lexisGroup-id_38	Sp-id_6	Sp-id_56	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_84	lexisGroup-id_38	Sp-id_7	Sp-id_53	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_85	lexisGroup-id_38	Zoonosis-id_1		Category-id_12	2021-08-21	2021-09-29
lexisMain-id_86	lexisGroup-id_39	Zoonosis-id_4		Category-id_7	2021-08-21	2021-09-29
lexisMain-id_87	lexisGroup-id_39	Sp-id_11	Sp-id_54	Category-id_12	2021-08-21	2021-09-29
lexisMain-id_88	lexisGroup-id_39	Sp-id_12	Sp-id_55	Category-id_12	2021-08-21	2021-09-29
