lexisOnTextAE-id	lexicalTextAE-span	lexisDic-id	Dic-id	PubMed-id	Registered	LastUpdated
lexisOnTextAE-id_1	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/0-14	lexisDic-id_1	Dic-id_1	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_2	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/26-34	lexisDic-id_2	Dic-id_2	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_3	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/51-68	lexisDic-id_3	Dic-id_3	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_4	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/73-97	lexisDic-id_4	Dic-id_4	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_5	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/105-112	lexisDic-id_5	Dic-id_5	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_6	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/120-142	lexisDic-id_6	Dic-id_6	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_7	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/151-171	lexisDic-id_7	Dic-id_7	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_8	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/179-196	lexisDic-id_8	Dic-id_8	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_9	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/377-383	lexisDic-id_9	Dic-id_9	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_10	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/392-400	lexisDic-id_10	Dic-id_10	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_11	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/406-428	lexisDic-id_11	Dic-id_11	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_12	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/430-443	lexisDic-id_12	Dic-id_12	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_13	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/464-473	lexisDic-id_13	Dic-id_13	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_14	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/478-498	lexisDic-id_7	Dic-id_7	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_15	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/523-541	lexisDic-id_14	Dic-id_14	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_16	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1400-1402	lexisDic-id_15	Dic-id_15	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_17	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1410-1417	lexisDic-id_16	Dic-id_16	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_18	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1436-1449	lexisDic-id_12	Dic-id_12	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_19	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1454-1457	lexisDic-id_17	Dic-id_17	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_20	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1458-1466	lexisDic-id_18	Dic-id_18	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_21	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1468-1483	lexisDic-id_19	Dic-id_19	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_22	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1488-1499	lexisDic-id_20	Dic-id_20	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_23	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1513-1518	lexisDic-id_21	Dic-id_21	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_24	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1523-1534	lexisDic-id_22	Dic-id_22	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_25	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1560-1570	lexisDic-id_23	Dic-id_23	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_26	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1575-1596	lexisDic-id_24	Dic-id_24	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_27	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1588-1596	lexisDic-id_25	Dic-id_25	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_28	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1607-1626	lexisDic-id_26	Dic-id_26	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_29	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1628-1639	lexisDic-id_27	Dic-id_27	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_30	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1644-1652	lexisDic-id_28	Dic-id_28	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_31	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2117-2130	lexisDic-id_12	Dic-id_12	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_32	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2148-2168	lexisDic-id_7	Dic-id_7	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_33	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2172-2177	lexisDic-id_21	Dic-id_21	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_34	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2187-2197	lexisDic-id_23	Dic-id_23	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_35	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2202-2223	lexisDic-id_24	Dic-id_24	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_36	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2215-2223	lexisDic-id_25	Dic-id_25	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_37	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2231-2257	lexisDic-id_29	Dic-id_29	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_38	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2261-2271	lexisDic-id_30	Dic-id_30	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_39	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2272-2297	lexisDic-id_31	Dic-id_31	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_40	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2298-2305	lexisDic-id_32	Dic-id_32	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_41	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2312-2320	lexisDic-id_33	Dic-id_33	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_42	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2321-2330	lexisDic-id_34	Dic-id_34	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_43	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2334-2353	lexisDic-id_35	Dic-id_35	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_44	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/951-954	lexisDic-id_36	Dic-id_36	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_45	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/955-962	lexisDic-id_37	Dic-id_37	32097700	2021-08-21	2021-09-19
lexisOnTextAE-id_46	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/963-967	lexisDic-id_38	Dic-id_38	32097700	2021-08-21	2021-09-19
