relatedNote-id	Species-Zoonoses-id	spZooCategory-id	Category-id	NoteOnTextAE-id	Registered	LastUpdated
relatedNote-id_1	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_1	2021-08-22	2021-09-29
relatedNote-id_2	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_2	2021-08-22	2021-09-29
relatedNote-id_3	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_3	2021-08-22	2021-09-29
relatedNote-id_4	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_4	2021-08-22	2021-09-29
relatedNote-id_5	Sp-id_1	Sp-id_62	Category-id_12	NoteOnTextAE-id_5	2021-08-22	2021-09-29
relatedNote-id_10	Sp-id_2	Sp-id_63	Category-id_12	NoteOnTextAE-id_5	2021-08-22	2021-09-29
relatedNote-id_11	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_1	2021-08-22	2021-09-29
relatedNote-id_12	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_2	2021-08-22	2021-09-29
relatedNote-id_13	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_3	2021-08-22	2021-09-29
relatedNote-id_14	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_4	2021-08-22	2021-09-29
relatedNote-id_15	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_5	2021-08-22	2021-09-29
relatedNote-id_16	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_6	2021-08-22	2021-09-29
relatedNote-id_17	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_7	2021-08-22	2021-09-29
relatedNote-id_20	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_6	2021-08-22	2021-09-29
relatedNote-id_21	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_7	2021-08-22	2021-09-29
relatedNote-id_22	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_8	2021-08-22	2021-09-29
relatedNote-id_23	Sp-id_49	Sp-id_62	Category-id_12	NoteOnTextAE-id_9	2021-08-22	2021-09-29
relatedNote-id_24	Sp-id_1	Sp-id_62	Category-id_12	NoteOnTextAE-id_10	2021-08-22	2021-09-29
relatedNote-id_25	Sp-id_2	Sp-id_63	Category-id_12	NoteOnTextAE-id_10	2021-08-22	2021-09-29
relatedNote-id_26	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_10	2021-08-22	2021-09-29
relatedNote-id_28	Sp-id_1	Sp-id_62	Category-id_12	NoteOnTextAE-id_11	2021-08-22	2021-09-29
relatedNote-id_29	Sp-id_52	Sp-id_51	Category-id_12	NoteOnTextAE-id_921	2021-08-22	2021-09-29
relatedNote-id_30	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_11	2021-08-22	2021-09-29
relatedNote-id_31	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_11	2021-08-22	2021-09-29
relatedNote-id_32	Sp-id_1	Sp-id_62	Category-id_12	NoteOnTextAE-id_12	2021-08-22	2021-09-29
relatedNote-id_33	Sp-id_52	Sp-id_51	Category-id_12	NoteOnTextAE-id_922	2021-08-22	2021-09-29
relatedNote-id_34	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_12	2021-08-22	2021-09-29
relatedNote-id_35	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_12	2021-08-22	2021-09-29
relatedNote-id_36	Sp-id_1	Sp-id_62	Category-id_12	NoteOnTextAE-id_13	2021-08-22	2021-09-29
relatedNote-id_37	Sp-id_52	Sp-id_51	Category-id_12	NoteOnTextAE-id_923	2021-08-22	2021-09-29
relatedNote-id_38	Zoonosis-id_1		Category-id_12	NoteOnTextAE-id_13	2021-08-22	2021-09-29
relatedNote-id_39	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_13	2021-08-22	2021-09-29
relatedNote-id_40	Zoonosis-id_2		Category-id_2	NoteOnTextAE-id_14	2021-08-22	2021-09-29
relatedNote-id_41	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_15	2021-08-22	2021-09-29
relatedNote-id_42	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_16	2021-08-22	2021-09-29
relatedNote-id_43	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_17	2021-08-22	2021-09-29
relatedNote-id_44	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_18	2021-08-22	2021-09-29
relatedNote-id_45	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_19	2021-08-22	2021-09-29
relatedNote-id_46	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_20	2021-08-22	2021-09-29
relatedNote-id_47	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_21	2021-08-22	2021-09-29
relatedNote-id_48	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_22	2021-08-22	2021-09-29
relatedNote-id_49	Sp-id_50	Sp-id_3	Category-id_12	NoteOnTextAE-id_23	2021-08-22	2021-09-29
relatedNote-id_50	Zoonosis-id_3		Category-id_2	NoteOnTextAE-id_24	2021-08-22	2021-09-29
relatedNote-id_51	Zoonosis-id_3		Category-id_3	NoteOnTextAE-id_25	2021-08-22	2021-09-29
relatedNote-id_52	Zoonosis-id_3		Category-id_11	NoteOnTextAE-id_26	2021-08-22	2021-09-29
relatedNote-id_53	Zoonosis-id_3		Category-id_11	NoteOnTextAE-id_27	2021-08-22	2021-09-29
relatedNote-id_54	Zoonosis-id_1		Category-id_11	NoteOnTextAE-id_26	2021-08-22	2021-09-29
relatedNote-id_55	Zoonosis-id_1		Category-id_11	NoteOnTextAE-id_27	2021-08-22	2021-09-29
relatedNote-id_56	Zoonosis-id_3		Category-id_7	NoteOnTextAE-id_28	2021-08-22	2021-09-29
relatedNote-id_57	Zoonosis-id_1		Category-id_7	NoteOnTextAE-id_38	2021-08-22	2021-09-29
relatedNote-id_58	Zoonosis-id_3		Category-id_11	NoteOnTextAE-id_29	2021-08-22	2021-09-29
relatedNote-id_59	Zoonosis-id_1		Category-id_11	NoteOnTextAE-id_29	2021-08-22	2021-09-29
relatedNote-id_60	Zoonosis-id_3		Category-id_11	NoteOnTextAE-id_30	2021-08-22	2021-09-29
relatedNote-id_61	Zoonosis-id_1		Category-id_11	NoteOnTextAE-id_30	2021-08-22	2021-09-29
relatedNote-id_62	Zoonosis-id_3		Category-id_7	NoteOnTextAE-id_31	2021-08-22	2021-09-29
relatedNote-id_63	Zoonosis-id_3		Category-id_7	NoteOnTextAE-id_32	2021-08-22	2021-09-29
relatedNote-id_64	Zoonosis-id_1		Category-id_7	NoteOnTextAE-id_39	2021-08-22	2021-09-29
relatedNote-id_65	Zoonosis-id_1		Category-id_7	NoteOnTextAE-id_40	2021-08-22	2021-09-29
relatedNote-id_66	Zoonosis-id_3		Category-id_1	NoteOnTextAE-id_34	2021-08-22	2021-09-29
relatedNote-id_67	Zoonosis-id_3		Category-id_2	NoteOnTextAE-id_33	2021-08-22	2021-09-29
relatedNote-id_68	Zoonosis-id_3		Category-id_2	NoteOnTextAE-id_35	2021-08-22	2021-09-29
relatedNote-id_69	Zoonosis-id_1		Category-id_2	NoteOnTextAE-id_36	2021-08-22	2021-09-29
relatedNote-id_70	Zoonosis-id_3		Category-id_7	NoteOnTextAE-id_37	2021-08-22	2021-09-29
relatedNote-id_71	Zoonosis-id_1		Category-id_7	NoteOnTextAE-id_41	2021-08-22	2021-09-29
relatedNote-id_72	Zoonosis-id_3		Category-id_6	NoteOnTextAE-id_42	2021-08-22	2021-09-29
relatedNote-id_73	Zoonosis-id_3		Category-id_12	NoteOnTextAE-id_43	2021-08-22	2021-09-29
relatedNote-id_74	Zoonosis-id_3		Category-id_12	NoteOnTextAE-id_44	2021-08-22	2021-09-29
relatedNote-id_75	Zoonosis-id_3		Category-id_14	NoteOnTextAE-id_45	2021-08-22	2021-09-29
relatedNote-id_76	Zoonosis-id_3		Category-id_10	NoteOnTextAE-id_46	2021-08-22	2021-09-29
relatedNote-id_77	Zoonosis-id_1		Category-id_2	NoteOnTextAE-id_47	2021-08-22	2021-09-29
