lexisGroup-id	lexisOnTextAE-id	Registered	LastUpdated
lexisGroup-id_1	lexisOnTextAE-id_1	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_2	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_3	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_4	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_5	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_6	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_7	2021-08-21	
lexisGroup-id_1	lexisOnTextAE-id_8	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_9	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_10	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_11	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_12	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_13	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_14	2021-08-21	
lexisGroup-id_2	lexisOnTextAE-id_15	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_16	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_17	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_18	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_19	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_20	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_21	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_22	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_23	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_24	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_25	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_26	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_27	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_28	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_29	2021-08-21	
lexisGroup-id_3	lexisOnTextAE-id_30	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_31	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_32	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_33	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_34	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_35	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_36	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_37	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_38	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_39	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_40	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_41	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_42	2021-08-21	
lexisGroup-id_4	lexisOnTextAE-id_43	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_64	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_65	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_66	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_67	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_68	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_69	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_70	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_71	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_72	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_73	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_74	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_75	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_76	2021-08-21	
lexisGroup-id_5	lexisOnTextAE-id_77	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_44	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_45	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_46	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_47	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_48	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_49	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_50	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_51	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_52	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_53	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_54	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_55	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_56	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_57	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_58	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_59	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_60	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_61	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_62	2021-08-21	
lexisGroup-id_6	lexisOnTextAE-id_63	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_78	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_79	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_80	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_81	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_82	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_83	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_84	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_85	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_86	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_87	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_88	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_89	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_90	2021-08-21	
lexisGroup-id_7	lexisOnTextAE-id_91	2021-08-21	
